time,instance,memory,max_memory,model_memory,pending_requests
6,westus_D_1_2,0,667694767360,19500000000,0
6,westus_D_2_0,0,667694767360,19500000000,0
6,westus_D_2_1,0,667694767360,19500000000,0
6,westus_D_2_2,0,667694767360,19500000000,0
6,westus_D_3_0,0,667694767360,19500000000,0
6,westus_D_3_1,0,667694767360,19500000000,0
6,westus_D_3_2,0,667694767360,19500000000,0
6,westus_D_4_0,0,667694767360,19500000000,0
6,westus_D_4_1,0,667694767360,19500000000,0
6,westus_D_4_2,0,667694767360,19500000000,0
6,westus_D_5_0,0,667694767360,19500000000,0
6,westus_D_5_1,0,667694767360,19500000000,0
6,westus_D_6_0,0,667694767360,19500000000,0
6,westus_D_6_1,0,667694767360,19500000000,0
6,centralus_A_0_0,0,552194767360,135000000000,0
6,centralus_A_0_1,0,552194767360,135000000000,0
6,centralus_A_0_2,0,552194767360,135000000000,0
6,centralus_A_1_0,0,552194767360,135000000000,0
6,centralus_A_1_1,0,552194767360,135000000000,0
6,centralus_A_1_2,0,552194767360,135000000000,0
6,centralus_A_2_0,0,552194767360,135000000000,0
6,centralus_A_2_1,0,552194767360,135000000000,0
6,centralus_A_2_2,0,552194767360,135000000000,0
6,centralus_A_3_0,0,552194767360,135000000000,0
6,centralus_A_3_1,0,552194767360,135000000000,0
6,centralus_A_3_2,0,552194767360,135000000000,0
6,centralus_A_4_0,0,552194767360,135000000000,0
6,centralus_A_4_1,0,552194767360,135000000000,0
6,centralus_A_4_2,0,552194767360,135000000000,0
6,centralus_A_5_0,0,552194767360,135000000000,0
6,centralus_A_5_1,0,552194767360,135000000000,0
6,centralus_A_5_2,0,552194767360,135000000000,0
6,centralus_A_6_0,0,552194767360,135000000000,0
6,centralus_A_6_1,0,552194767360,135000000000,0
6,centralus_B_0_0,0,358194767360,329000000000,0
6,centralus_B_0_1,0,358194767360,329000000000,0
6,centralus_B_0_2,0,358194767360,329000000000,0
6,centralus_B_1_0,0,358194767360,329000000000,0
6,centralus_B_1_1,0,358194767360,329000000000,0
6,centralus_B_1_2,0,358194767360,329000000000,0
6,centralus_B_2_0,0,358194767360,329000000000,0
6,centralus_B_2_1,0,358194767360,329000000000,0
6,centralus_B_2_2,0,358194767360,329000000000,0
6,centralus_B_3_0,0,358194767360,329000000000,0
6,centralus_B_3_1,0,358194767360,329000000000,0
6,centralus_B_3_2,0,358194767360,329000000000,0
6,centralus_B_4_0,0,358194767360,329000000000,0
6,centralus_B_4_1,0,358194767360,329000000000,0
6,centralus_B_4_2,0,358194767360,329000000000,0
6,centralus_B_5_0,0,358194767360,329000000000,0
6,centralus_B_5_1,0,358194767360,329000000000,0
6,centralus_B_5_2,0,358194767360,329000000000,0
6,centralus_B_6_0,0,358194767360,329000000000,0
6,centralus_B_6_1,0,358194767360,329000000000,0
6,centralus_C_0_0,0,636194767360,51000000000,0
6,centralus_C_0_1,0,636194767360,51000000000,0
6,centralus_C_0_2,0,636194767360,51000000000,0
6,centralus_C_1_0,0,636194767360,51000000000,0
6,centralus_C_1_1,0,636194767360,51000000000,0
6,centralus_C_1_2,0,636194767360,51000000000,0
6,centralus_C_2_0,0,636194767360,51000000000,0
6,centralus_C_2_1,0,636194767360,51000000000,0
6,centralus_C_2_2,0,636194767360,51000000000,0
6,centralus_C_3_0,0,636194767360,51000000000,0
6,centralus_C_3_1,0,636194767360,51000000000,0
6,centralus_C_3_2,0,636194767360,51000000000,0
6,centralus_C_4_0,0,636194767360,51000000000,0
6,centralus_C_4_1,0,636194767360,51000000000,0
6,centralus_C_4_2,0,636194767360,51000000000,0
6,centralus_C_5_0,0,636194767360,51000000000,0
6,centralus_C_5_1,0,636194767360,51000000000,0
6,centralus_C_5_2,0,636194767360,51000000000,0
6,centralus_C_6_0,0,636194767360,51000000000,0
6,centralus_C_6_1,0,636194767360,51000000000,0
6,centralus_D_0_0,680525824,667694767360,19500000000,1
6,centralus_D_0_1,0,667694767360,19500000000,0
6,centralus_D_0_2,0,667694767360,19500000000,0
6,centralus_D_1_0,0,667694767360,19500000000,0
6,centralus_D_1_1,0,667694767360,19500000000,0
6,centralus_D_1_2,0,667694767360,19500000000,0
6,centralus_D_2_0,0,667694767360,19500000000,0
6,centralus_D_2_1,0,667694767360,19500000000,0
6,centralus_D_2_2,0,667694767360,19500000000,0
6,centralus_D_3_0,0,667694767360,19500000000,0
6,centralus_D_3_1,0,667694767360,19500000000,0
6,centralus_D_3_2,0,667694767360,19500000000,0
6,centralus_D_4_0,0,667694767360,19500000000,0
6,centralus_D_4_1,0,667694767360,19500000000,0
6,centralus_D_4_2,0,667694767360,19500000000,0
6,centralus_D_5_0,0,667694767360,19500000000,0
6,centralus_D_5_1,0,667694767360,19500000000,0
6,centralus_D_6_0,0,667694767360,19500000000,0
6,centralus_D_6_1,0,667694767360,19500000000,0
6,eastus_A_0_0,0,552194767360,135000000000,0
6,eastus_A_0_1,0,552194767360,135000000000,0
6,eastus_A_0_2,0,552194767360,135000000000,0
6,eastus_A_1_0,0,552194767360,135000000000,0
6,eastus_A_1_1,0,552194767360,135000000000,0
6,eastus_A_1_2,0,552194767360,135000000000,0
6,eastus_A_2_0,0,552194767360,135000000000,0
6,eastus_A_2_1,0,552194767360,135000000000,0
6,eastus_A_2_2,0,552194767360,135000000000,0
6,eastus_A_3_0,0,552194767360,135000000000,0
6,eastus_A_3_1,0,552194767360,135000000000,0
6,eastus_A_3_2,0,552194767360,135000000000,0
6,eastus_A_4_0,0,552194767360,135000000000,0
6,eastus_A_4_1,0,552194767360,135000000000,0
6,eastus_A_4_2,0,552194767360,135000000000,0
6,eastus_A_5_0,0,552194767360,135000000000,0
6,eastus_A_5_1,0,552194767360,135000000000,0
6,eastus_A_5_2,0,552194767360,135000000000,0
6,eastus_A_6_0,0,552194767360,135000000000,0
6,eastus_A_6_1,0,552194767360,135000000000,0
6,eastus_B_0_0,0,358194767360,329000000000,0
6,eastus_B_0_1,0,358194767360,329000000000,0
6,eastus_B_0_2,0,358194767360,329000000000,0
6,eastus_B_1_0,0,358194767360,329000000000,0
6,eastus_B_1_1,0,358194767360,329000000000,0
6,eastus_B_1_2,0,358194767360,329000000000,0
6,eastus_B_2_0,0,358194767360,329000000000,0
6,eastus_B_2_1,0,358194767360,329000000000,0
6,eastus_B_2_2,0,358194767360,329000000000,0
6,eastus_B_3_0,0,358194767360,329000000000,0
6,eastus_B_3_1,0,358194767360,329000000000,0
6,eastus_B_3_2,0,358194767360,329000000000,0
6,eastus_B_4_0,0,358194767360,329000000000,0
6,eastus_B_4_1,0,358194767360,329000000000,0
6,eastus_B_4_2,0,358194767360,329000000000,0
6,eastus_B_5_0,0,358194767360,329000000000,0
6,eastus_B_5_1,0,358194767360,329000000000,0
6,eastus_B_5_2,0,358194767360,329000000000,0
6,eastus_B_6_0,0,358194767360,329000000000,0
6,eastus_B_6_1,0,358194767360,329000000000,0
6,eastus_C_0_0,3628072960,636194767360,51000000000,1
6,eastus_C_0_1,0,636194767360,51000000000,0
6,eastus_C_0_2,0,636194767360,51000000000,0
6,eastus_C_1_0,0,636194767360,51000000000,0
6,eastus_C_1_1,0,636194767360,51000000000,0
6,eastus_C_1_2,0,636194767360,51000000000,0
6,eastus_C_2_0,0,636194767360,51000000000,0
6,eastus_C_2_1,0,636194767360,51000000000,0
6,eastus_C_2_2,0,636194767360,51000000000,0
6,eastus_C_3_0,0,636194767360,51000000000,0
6,eastus_C_3_1,0,636194767360,51000000000,0
6,eastus_C_3_2,0,636194767360,51000000000,0
6,eastus_C_4_0,0,636194767360,51000000000,0
6,eastus_C_4_1,0,636194767360,51000000000,0
6,eastus_C_4_2,0,636194767360,51000000000,0
6,eastus_C_5_0,0,636194767360,51000000000,0
6,eastus_C_5_1,0,636194767360,51000000000,0
6,eastus_C_6_0,0,636194767360,51000000000,0
6,eastus_C_6_1,0,636194767360,51000000000,0
6,eastus_D_0_0,574095360,667694767360,19500000000,1
6,eastus_D_0_1,0,667694767360,19500000000,0
6,eastus_D_0_2,0,667694767360,19500000000,0
6,eastus_D_1_0,0,667694767360,19500000000,0
6,eastus_D_1_1,0,667694767360,19500000000,0
6,eastus_D_1_2,0,667694767360,19500000000,0
6,eastus_D_2_0,0,667694767360,19500000000,0
6,eastus_D_2_1,0,667694767360,19500000000,0
6,eastus_D_2_2,0,667694767360,19500000000,0
6,eastus_D_3_0,0,667694767360,19500000000,0
6,eastus_D_3_1,0,667694767360,19500000000,0
6,eastus_D_3_2,0,667694767360,19500000000,0
6,eastus_D_4_0,0,667694767360,19500000000,0
6,eastus_D_4_1,0,667694767360,19500000000,0
6,eastus_D_4_2,0,667694767360,19500000000,0
6,eastus_D_5_0,0,667694767360,19500000000,0
6,eastus_D_5_1,0,667694767360,19500000000,0
6,eastus_D_6_0,0,667694767360,19500000000,0
6,eastus_D_6_1,0,667694767360,19500000000,0
8,westus_A_0_0,0,552194767360,135000000000,0
8,westus_A_0_1,0,552194767360,135000000000,0
8,westus_A_0_2,0,552194767360,135000000000,0
8,westus_A_1_0,0,552194767360,135000000000,0
8,westus_A_1_1,0,552194767360,135000000000,0
8,westus_A_1_2,0,552194767360,135000000000,0
8,westus_A_2_0,0,552194767360,135000000000,0
8,westus_A_2_1,0,552194767360,135000000000,0
8,westus_A_2_2,0,552194767360,135000000000,0
8,westus_A_3_0,0,552194767360,135000000000,0
8,westus_A_3_1,0,552194767360,135000000000,0
8,westus_A_3_2,0,552194767360,135000000000,0
8,westus_A_4_0,0,552194767360,135000000000,0
8,westus_A_4_1,0,552194767360,135000000000,0
8,westus_A_4_2,0,552194767360,135000000000,0
8,westus_A_5_0,0,552194767360,135000000000,0
8,westus_A_5_1,0,552194767360,135000000000,0
8,westus_A_5_2,0,552194767360,135000000000,0
8,westus_A_6_0,0,552194767360,135000000000,0
8,westus_A_6_1,0,552194767360,135000000000,0
8,westus_B_0_0,4419502080,358194767360,329000000000,1
8,westus_B_0_1,0,358194767360,329000000000,0
8,westus_B_0_2,0,358194767360,329000000000,0
8,westus_B_1_0,0,358194767360,329000000000,0
8,westus_B_1_1,0,358194767360,329000000000,0
8,westus_B_1_2,0,358194767360,329000000000,0
8,westus_B_2_0,0,358194767360,329000000000,0
8,westus_B_2_1,0,358194767360,329000000000,0
8,westus_B_2_2,0,358194767360,329000000000,0
8,westus_B_3_0,0,358194767360,329000000000,0
8,westus_B_3_1,0,358194767360,329000000000,0
8,westus_B_3_2,0,358194767360,329000000000,0
8,westus_B_4_0,0,358194767360,329000000000,0
8,westus_B_4_1,0,358194767360,329000000000,0
8,westus_B_4_2,0,358194767360,329000000000,0
8,westus_B_5_0,0,358194767360,329000000000,0
8,westus_B_5_1,0,358194767360,329000000000,0
8,westus_B_6_0,0,358194767360,329000000000,0
8,westus_B_6_1,0,358194767360,329000000000,0
8,westus_C_0_0,0,636194767360,51000000000,0
8,westus_C_0_1,0,636194767360,51000000000,0
8,westus_C_0_2,0,636194767360,51000000000,0
8,westus_C_1_0,0,636194767360,51000000000,0
8,westus_C_1_1,0,636194767360,51000000000,0
8,westus_C_1_2,0,636194767360,51000000000,0
8,westus_C_2_0,0,636194767360,51000000000,0
8,westus_C_2_1,0,636194767360,51000000000,0
8,westus_C_2_2,0,636194767360,51000000000,0
8,westus_C_3_0,0,636194767360,51000000000,0
8,westus_C_3_1,0,636194767360,51000000000,0
8,westus_C_3_2,0,636194767360,51000000000,0
8,westus_C_4_0,0,636194767360,51000000000,0
8,westus_C_4_1,0,636194767360,51000000000,0
8,westus_C_4_2,0,636194767360,51000000000,0
8,westus_C_5_0,0,636194767360,51000000000,0
8,westus_C_5_1,0,636194767360,51000000000,0
8,westus_C_5_2,0,636194767360,51000000000,0
8,westus_C_6_0,0,636194767360,51000000000,0
8,westus_C_6_1,0,636194767360,51000000000,0
8,westus_D_0_0,675282944,667694767360,19500000000,1
8,westus_D_0_1,0,667694767360,19500000000,0
8,westus_D_0_2,0,667694767360,19500000000,0
8,westus_D_1_0,0,667694767360,19500000000,0
8,westus_D_1_1,0,667694767360,19500000000,0
8,westus_D_1_2,0,667694767360,19500000000,0
8,westus_D_2_0,0,667694767360,19500000000,0
8,westus_D_2_1,0,667694767360,19500000000,0
8,westus_D_2_2,0,667694767360,19500000000,0
8,westus_D_3_0,0,667694767360,19500000000,0
8,westus_D_3_1,0,667694767360,19500000000,0
8,westus_D_3_2,0,667694767360,19500000000,0
8,westus_D_4_0,0,667694767360,19500000000,0
8,westus_D_4_1,0,667694767360,19500000000,0
8,westus_D_4_2,0,667694767360,19500000000,0
8,westus_D_5_0,0,667694767360,19500000000,0
8,westus_D_5_1,0,667694767360,19500000000,0
8,westus_D_6_0,0,667694767360,19500000000,0
8,westus_D_6_1,0,667694767360,19500000000,0
8,centralus_A_0_0,0,552194767360,135000000000,0
8,centralus_A_0_1,0,552194767360,135000000000,0
8,centralus_A_0_2,0,552194767360,135000000000,0
8,centralus_A_1_0,0,552194767360,135000000000,0
8,centralus_A_1_1,0,552194767360,135000000000,0
8,centralus_A_1_2,0,552194767360,135000000000,0
8,centralus_A_2_0,0,552194767360,135000000000,0
8,centralus_A_2_1,0,552194767360,135000000000,0
8,centralus_A_2_2,0,552194767360,135000000000,0
8,centralus_A_3_0,0,552194767360,135000000000,0
8,centralus_A_3_1,0,552194767360,135000000000,0
8,centralus_A_3_2,0,552194767360,135000000000,0
8,centralus_A_4_0,0,552194767360,135000000000,0
8,centralus_A_4_1,0,552194767360,135000000000,0
8,centralus_A_4_2,0,552194767360,135000000000,0
8,centralus_A_5_0,0,552194767360,135000000000,0
8,centralus_A_5_1,0,552194767360,135000000000,0
8,centralus_A_5_2,0,552194767360,135000000000,0
8,centralus_A_6_0,0,552194767360,135000000000,0
8,centralus_A_6_1,0,552194767360,135000000000,0
8,centralus_B_0_0,0,358194767360,329000000000,0
8,centralus_B_0_1,0,358194767360,329000000000,0
8,centralus_B_0_2,0,358194767360,329000000000,0
8,centralus_B_1_0,0,358194767360,329000000000,0
8,centralus_B_1_1,0,358194767360,329000000000,0
8,centralus_B_1_2,0,358194767360,329000000000,0
8,centralus_B_2_0,0,358194767360,329000000000,0
8,centralus_B_2_1,0,358194767360,329000000000,0
8,centralus_B_2_2,0,358194767360,329000000000,0
8,centralus_B_3_0,0,358194767360,329000000000,0
8,centralus_B_3_1,0,358194767360,329000000000,0
8,centralus_B_3_2,0,358194767360,329000000000,0
8,centralus_B_4_0,0,358194767360,329000000000,0
8,centralus_B_4_1,0,358194767360,329000000000,0
8,centralus_B_4_2,0,358194767360,329000000000,0
8,centralus_B_5_0,0,358194767360,329000000000,0
8,centralus_B_5_1,0,358194767360,329000000000,0
8,centralus_B_5_2,0,358194767360,329000000000,0
8,centralus_B_6_0,0,358194767360,329000000000,0
8,centralus_B_6_1,0,358194767360,329000000000,0
8,centralus_C_0_0,3594518528,636194767360,51000000000,1
8,centralus_C_0_1,0,636194767360,51000000000,0
8,centralus_C_0_2,0,636194767360,51000000000,0
8,centralus_C_1_0,0,636194767360,51000000000,0
8,centralus_C_1_1,0,636194767360,51000000000,0
8,centralus_C_1_2,0,636194767360,51000000000,0
8,centralus_C_2_0,0,636194767360,51000000000,0
8,centralus_C_2_1,0,636194767360,51000000000,0
8,centralus_C_2_2,0,636194767360,51000000000,0
8,centralus_C_3_0,0,636194767360,51000000000,0
8,centralus_C_3_1,0,636194767360,51000000000,0
8,centralus_C_3_2,0,636194767360,51000000000,0
8,centralus_C_4_0,0,636194767360,51000000000,0
8,centralus_C_4_1,0,636194767360,51000000000,0
8,centralus_C_4_2,0,636194767360,51000000000,0
8,centralus_C_5_0,0,636194767360,51000000000,0
8,centralus_C_5_1,0,636194767360,51000000000,0
8,centralus_C_6_0,0,636194767360,51000000000,0
8,centralus_C_6_1,0,636194767360,51000000000,0
8,centralus_D_0_0,79658221568.0,667694767360,19500000000,1
8,centralus_D_0_1,0,667694767360,19500000000,0
8,centralus_D_0_2,0,667694767360,19500000000,0
8,centralus_D_1_0,0,667694767360,19500000000,0
8,centralus_D_1_1,0,667694767360,19500000000,0
8,centralus_D_1_2,0,667694767360,19500000000,0
8,centralus_D_2_0,0,667694767360,19500000000,0
8,centralus_D_2_1,0,667694767360,19500000000,0
8,centralus_D_2_2,0,667694767360,19500000000,0
8,centralus_D_3_0,0,667694767360,19500000000,0
8,centralus_D_3_1,0,667694767360,19500000000,0
8,centralus_D_3_2,0,667694767360,19500000000,0
8,centralus_D_4_0,0,667694767360,19500000000,0
8,centralus_D_4_1,0,667694767360,19500000000,0
8,centralus_D_4_2,0,667694767360,19500000000,0
8,centralus_D_5_0,0,667694767360,19500000000,0
8,centralus_D_5_1,0,667694767360,19500000000,0
8,centralus_D_5_2,0,667694767360,19500000000,0
8,eastus_A_0_0,3735552000,552194767360,135000000000,1
8,eastus_A_0_1,0,552194767360,135000000000,0
8,eastus_A_0_2,0,552194767360,135000000000,0
8,eastus_A_1_0,0,552194767360,135000000000,0
8,eastus_A_1_1,0,552194767360,135000000000,0
8,eastus_A_1_2,0,552194767360,135000000000,0
8,eastus_A_2_0,0,552194767360,135000000000,0
8,eastus_A_2_1,0,552194767360,135000000000,0
8,eastus_A_2_2,0,552194767360,135000000000,0
8,eastus_A_3_0,0,552194767360,135000000000,0
8,eastus_A_3_1,0,552194767360,135000000000,0
8,eastus_A_3_2,0,552194767360,135000000000,0
8,eastus_A_4_0,0,552194767360,135000000000,0
8,eastus_A_4_1,0,552194767360,135000000000,0
8,eastus_A_4_2,0,552194767360,135000000000,0
8,eastus_A_5_0,0,552194767360,135000000000,0
8,eastus_A_5_1,0,552194767360,135000000000,0
8,eastus_A_6_0,0,552194767360,135000000000,0
8,eastus_A_6_1,0,552194767360,135000000000,0
8,eastus_B_0_0,0,358194767360,329000000000,0
8,eastus_B_0_1,0,358194767360,329000000000,0
8,eastus_B_0_2,0,358194767360,329000000000,0
8,eastus_B_1_0,0,358194767360,329000000000,0
8,eastus_B_1_1,0,358194767360,329000000000,0
8,eastus_B_1_2,0,358194767360,329000000000,0
8,eastus_B_2_0,0,358194767360,329000000000,0
8,eastus_B_2_1,0,358194767360,329000000000,0
8,eastus_B_2_2,0,358194767360,329000000000,0
8,eastus_B_3_0,0,358194767360,329000000000,0
8,eastus_B_3_1,0,358194767360,329000000000,0
8,eastus_B_3_2,0,358194767360,329000000000,0
8,eastus_B_4_0,0,358194767360,329000000000,0
8,eastus_B_4_1,0,358194767360,329000000000,0
8,eastus_B_4_2,0,358194767360,329000000000,0
8,eastus_B_5_0,0,358194767360,329000000000,0
8,eastus_B_5_1,0,358194767360,329000000000,0
8,eastus_B_5_2,0,358194767360,329000000000,0
8,eastus_B_6_0,0,358194767360,329000000000,0
8,eastus_B_6_1,0,358194767360,329000000000,0
8,eastus_C_0_0,3628072960,636194767360,51000000000,1
8,eastus_C_0_1,0,636194767360,51000000000,0
8,eastus_C_0_2,0,636194767360,51000000000,0
8,eastus_C_1_0,0,636194767360,51000000000,0
8,eastus_C_1_1,0,636194767360,51000000000,0
8,eastus_C_1_2,0,636194767360,51000000000,0
8,eastus_C_2_0,0,636194767360,51000000000,0
8,eastus_C_2_1,0,636194767360,51000000000,0
8,eastus_C_2_2,0,636194767360,51000000000,0
8,eastus_C_3_0,0,636194767360,51000000000,0
8,eastus_C_3_1,0,636194767360,51000000000,0
8,eastus_C_3_2,0,636194767360,51000000000,0
8,eastus_C_4_0,0,636194767360,51000000000,0
8,eastus_C_4_1,0,636194767360,51000000000,0
8,eastus_C_4_2,0,636194767360,51000000000,0
8,eastus_C_5_0,0,636194767360,51000000000,0
8,eastus_C_5_1,0,636194767360,51000000000,0
8,eastus_C_6_0,0,636194767360,51000000000,0
8,eastus_C_6_1,0,636194767360,51000000000,0
8,eastus_D_0_0,530055168.0,667694767360,19500000000,1
8,eastus_D_0_1,0,667694767360,19500000000,0
8,eastus_D_0_2,0,667694767360,19500000000,0
8,eastus_D_1_0,0,667694767360,19500000000,0
8,eastus_D_1_1,0,667694767360,19500000000,0
8,eastus_D_1_2,0,667694767360,19500000000,0
8,eastus_D_2_0,0,667694767360,19500000000,0
8,eastus_D_2_1,0,667694767360,19500000000,0
8,eastus_D_2_2,0,667694767360,19500000000,0
8,eastus_D_3_0,0,667694767360,19500000000,0
8,eastus_D_3_1,0,667694767360,19500000000,0
8,eastus_D_3_2,0,667694767360,19500000000,0
8,eastus_D_4_0,0,667694767360,19500000000,0
8,eastus_D_4_1,0,667694767360,19500000000,0
8,eastus_D_4_2,0,667694767360,19500000000,0
8,eastus_D_5_0,0,667694767360,19500000000,0
8,eastus_D_5_1,0,667694767360,19500000000,0
8,eastus_D_5_2,0,667694767360,19500000000,0
10,westus_A_0_0,0,552194767360,135000000000,0
10,westus_A_0_1,0,552194767360,135000000000,0
10,westus_A_0_2,0,552194767360,135000000000,0
10,westus_A_1_0,0,552194767360,135000000000,0
10,westus_A_1_1,0,552194767360,135000000000,0
10,westus_A_1_2,0,552194767360,135000000000,0
10,westus_A_2_0,0,552194767360,135000000000,0
10,westus_A_2_1,0,552194767360,135000000000,0
10,westus_A_2_2,0,552194767360,135000000000,0
10,westus_A_3_0,0,552194767360,135000000000,0
10,westus_A_3_1,0,552194767360,135000000000,0
10,westus_A_3_2,0,552194767360,135000000000,0
10,westus_A_4_0,0,552194767360,135000000000,0
10,westus_A_4_1,0,552194767360,135000000000,0
10,westus_A_4_2,0,552194767360,135000000000,0
10,westus_A_5_0,0,552194767360,135000000000,0
10,westus_A_5_1,0,552194767360,135000000000,0
10,westus_A_5_2,0,552194767360,135000000000,0
10,westus_A_6_0,0,552194767360,135000000000,0
10,westus_A_6_1,0,552194767360,135000000000,0
10,westus_B_0_0,4419502080,358194767360,329000000000,1
10,westus_B_0_1,0,358194767360,329000000000,0
10,westus_B_0_2,0,358194767360,329000000000,0
10,westus_B_1_0,0,358194767360,329000000000,0
10,westus_B_1_1,0,358194767360,329000000000,0
10,westus_B_1_2,0,358194767360,329000000000,0
10,westus_B_2_0,0,358194767360,329000000000,0
10,westus_B_2_1,0,358194767360,329000000000,0
10,westus_B_2_2,0,358194767360,329000000000,0
10,westus_B_3_0,0,358194767360,329000000000,0
10,westus_B_3_1,0,358194767360,329000000000,0
10,westus_B_3_2,0,358194767360,329000000000,0
10,westus_B_4_0,0,358194767360,329000000000,0
10,westus_B_4_1,0,358194767360,329000000000,0
10,westus_B_4_2,0,358194767360,329000000000,0
10,westus_B_5_0,0,358194767360,329000000000,0
10,westus_B_5_1,0,358194767360,329000000000,0
10,westus_B_6_0,0,358194767360,329000000000,0
10,westus_B_6_1,0,358194767360,329000000000,0
10,westus_C_0_0,0,636194767360,51000000000,0
10,westus_C_0_1,0,636194767360,51000000000,0
10,westus_C_0_2,0,636194767360,51000000000,0
